config_id,episode,n_capture,n_steps
put_back_0,252,32,309
put_back_0,152,32,384
put_back_0,402,21,289
put_back_0,102,23,389
put_back_0,402,22,293
put_back_0,152,33,391
put_back_0,102,24,393
put_back_0,352,27,373
put_back_0,302,15,180
put_back_0,452,18,226
put_back_0,2,15,160
put_back_0,102,26,400
put_back_0,152,34,399
put_back_0,202,10,155
put_back_0,52,31,404
put_back_0,252,33,328
put_back_0,302,16,189
put_back_0,152,35,403
put_back_0,352,28,386
put_back_0,102,27,407
put_back_0,252,34,333
put_back_0,452,19,238
put_back_0,202,11,164
put_back_0,152,36,411
put_back_0,2,16,175
put_back_0,2,17,176
put_back_0,352,29,396
put_back_0,102,28,417
put_back_0,352,30,402
put_back_0,252,35,350
put_back_0,102,29,426
put_back_0,302,17,212
put_back_0,202,12,180
put_back_0,352,31,410
put_back_0,52,32,433
put_back_0,202,13,186
put_back_0,302,18,219
put_back_0,2,18,196
put_back_0,202,14,188
put_back_0,402,23,340
put_back_0,402,24,341
put_back_0,352,32,418
put_back_0,2,19,201
put_back_0,2,20,202
put_back_0,152,37,440
put_back_0,252,36,366
put_back_0,202,15,196
put_back_0,52,33,445
put_back_0,352,33,425
put_back_0,2,21,208
put_back_0,402,25,351
put_back_0,102,30,448
put_back_0,402,26,353
put_back_0,152,38,452
put_back_0,202,16,206
put_back_0,52,34,455
put_back_0,202,17,207
put_back_0,102,31,455
put_back_0,402,27,360
put_back_0,52,35,459
put_back_0,352,34,438
put_back_0,452,20,288
put_back_0,202,18,212
put_back_0,252,37,385
put_back_0,202,19,214
put_back_0,352,35,441
put_back_0,2,22,224
put_back_0,102,32,464
put_back_0,152,39,464
put_back_0,352,36,445
put_back_0,2,23,231
put_back_0,52,36,470
put_back_0,102,33,470
put_back_0,2,24,235
put_back_0,52,37,475
put_back_0,152,40,474
put_back_0,302,19,263
put_back_0,102,34,478
put_back_0,2,25,241
put_back_0,102,35,479
put_back_0,152,41,479
put_back_0,452,21,310
put_back_0,102,36,481
put_back_0,352,37,461
put_back_0,452,22,311
put_back_0,402,28,387
put_back_0,302,20,270
put_back_0,402,29,389
put_back_0,202,20,239
put_back_0,452,23,316
put_back_0,102,37,488
put_back_0,302,21,276
put_back_0,102,38,492
put_back_0,352,38,472
put_back_0,402,30,396
put_back_0,102,39,494
put_back_0,52,38,497
put_back_0,2,26,261
put_back_0,202,22,252
put_back_0,352,39,479
put_back_0,2,27,262
put_back_0,452,24,332
put_back_0,52,39,504
put_back_0,252,38,429
put_back_0,252,39,430
put_back_0,452,25,335
put_back_0,202,23,260
put_back_0,252,40,433
put_back_0,402,31,412
put_back_0,102,40,509
put_back_0,352,40,489
put_back_0,202,24,263
put_back_0,252,41,435
put_back_0,2,28,273
put_back_0,152,42,510
put_back_0,402,32,417
put_back_0,102,41,514
put_back_0,202,25,268
put_back_0,2,29,280
put_back_0,52,40,519
put_back_0,352,41,499
put_back_0,402,33,423
put_back_0,102,42,524
put_back_0,302,22,310
put_back_0,52,41,526
put_back_0,452,26,355
put_back_0,352,42,507
put_back_0,252,42,455
put_back_0,52,42,532
put_back_0,302,23,318
put_back_0,2,30,295
put_back_0,202,26,286
put_back_0,252,43,460
put_back_0,152,43,535
put_back_0,52,43,538
put_back_0,252,44,465
put_back_0,402,34,444
put_back_0,2,31,305
